Hypocotyl: Pigmentation,Leaf: Colour,Leaf: Hairiness,Leaf: Appearance,Leaf: Gossypol Glands,Leaf: Nectaries,Leaf: Petiole Pigmentation,Leaf: Shape,Plant: Stem Hairiness,Plant: Stem Pigmentation,Plant: Height (cm),Plant: Growth Habit,Bract: Type,Flower: Time of Flowering (50% of plants with at least one open flower),Flower: Petal Colour,Flower: Petal Spot,Flower: Stigma,Flower: Anther Filament Colouration,Flower: Pollen Colour,Flower: Male Sterility (Only for A and B lines),Boll: Bearing Habit,Boll: Colour,Boll: Shape (Longitudinal Section),Boll: Surface,Boll: Prominence of Tip,Boll: Opening,Boll: Weight of Seed cotton/boll (grams),Seed: Fuzz,Seed: Fuzz Colour,Seed: Index (100 seed weight in grams),Ginning (%),Fibre: Colour,Fibre: Length (2.5% span length in mm),Fibre: Strength (G/Tex),Fibre: Fineness (micronaire value),Fibre: Uniformity (%),Group
Present,Light Green,Dense - Sparse,Cup,160,Present,Absent,Palmate,Dense - Sparse,Absent,51,Semi Spreading,Normal,39,Yellow,Absent,Embedded,Absent,Cream,Absent,Solitary,Green,Ovate,Smooth,Blunt,Open,2.9,Medium,Grey,9,37.58,White,27.4,19.8,3.6,48,BBR
Present,Light Green,Dense - Sparse,Cup,160,Present,Absent,Palmate,Dense - Sparse,Absent,51,Semi Spreading,Normal,39,Yellow,Absent,Exerted,Absent,Cream,Absent,Solitary,Green,Ovate,Smooth,Blunt,Open,2.9,Medium,Grey,9,37.58,White,27.4,19.8,3.6,48,BBR
Present,Green,Sparse - Medium,Flat,183,Present (Faint),Present,Palmate,Medium,Absent,90,Semi Spreading,Normal,56,Yellow,Absent,Exerted,Absent,Yellow,Absent,Solitary,Green,Ovate,Smooth,Blunt,Open,3.1,Medium,Grey,7,44.26,White,23.9,18.7,2.9,49,BBR
Present,Light Green,Sparse,Flat,206,Present,Present (Faint),Palmate,Sparse,Absent,75,Semi Spreading,Normal,56,Cream,Absent,Embedded,Absent,Yellow,Absent,Solitary,Green,Round,Smooth,Pointed,Open,2.8,Medium,Grey,7.5,32.76,White,25.2,25.2,2.7,48,BBR
Present,Light Green,Sparse,Flat,191,Present,Absent,Palmate,Medium,Absent,80,Semi Spreading,Normal,57,Cream,Absent,Embedded,Absent,Yellow,Absent,Solitary,Green,Ovate,Smooth,Blunt,Open,3.6,Medium,Grey,8,40.77,White,24.4,21.2,2.9,50,BBR
Present (Faint Red),Light Green,Dense,Cup,129,Present,Present,Palmate,Dense,Absent,52,Semi Spreading,Normal,57,Cream,Absent,Exerted,Absent,Cream,Absent,Solitary,Green,Ovate,Smooth,Pointed,Open,2.5,Medium,Grey,7.5,34.28,White,24.5,20.4,2.3,51,BBR
Present,Light Green,Sparse,Flat,192,Present,Present (Faint),Palmate,Medium,Absent,82,Semi Spreading,Normal,57,Yellow,Absent,Embedded,Absent,Cream,Absent,Solitary,Green,Ovate,Smooth,Blunt,Open,2.9,Medium,Grey,6,37.5,White,22.6,15.5,3.5,51,BBR
Present,Light Green,Sparse,Flat,154,Present,Present,Palmate,Medium,Absent,80,Semi Spreading,Normal,34,Yellow,Absent,Embedded,Absent,Yellow,Absent,Solitary,Green,Ovate,Smooth,Pointed,Open,2.9,Sparse,Grey,6.5,36.77,White,24,18.7,3.5,50,BBR
Present,Green,Sparse,Flat,130,Present,Present (Faint),Palmate,Medium,Absent,90,Semi Spreading,Normal,45,Yellow,Absent,Embedded,Absent,Cream,Absent,Solitary,Green,Round,Smooth,Blunt,Open,3,Medium,Grey,8,37.13,White,23.2,17.2,3.1,49,BBR
Present,Green,Sparse,Flat,178,Present,Present (Faint),Palmate,Medium,Absent,72,Semi Spreading,Normal,52,Yellow,Absent,Embedded,Absent,Yellow,Absent,Solitary,Green,Round,Smooth,Blunt,Open,2.5,Dense,Grey,7.5,42.59,White,25.2,17.4,2.8,50,BBR
Present,Green,Sparse,Flat,299,Present,Present,Palmate,Medium,Absent,80,Semi Spreading,Normal,50,Yellow,Absent,Embedded,Absent,Cream,Absent,Solitary,Green,Ovate,Smooth,Pointed,Open,2.7,Medium,Grey,6.5,31.1,White,21.4,17.8,3.5,51,Variety
Present,Green,Sparse,Flat,299,Present,Present,Palmate,Medium,Absent,80,Semi Spreading,Normal,50,Cream,Absent,Embedded,Absent,Cream,Absent,Solitary,Green,Ovate,Smooth,Pointed,Open,2.7,Medium,Grey,6.5,31.1,White,21.4,17.8,3.5,51,Variety
Present,Green,Sparse,Flat,299,Present,Present,Palmate,Medium,Absent,80,Semi Spreading,Normal,50,Yellow,Absent,Embedded,Absent,Cream,Absent,Solitary,Green,Ovate,Smooth,Blunt,Open,2.7,Medium,Grey,6.5,31.1,White,21.4,17.8,3.5,51,Variety
Present,Green,Sparse,Flat,299,Present,Present,Palmate,Medium,Absent,80,Semi Spreading,Normal,50,Cream,Absent,Embedded,Absent,Cream,Absent,Solitary,Green,Ovate,Smooth,Blunt,Open,2.7,Medium,Grey,6.5,31.1,White,21.4,17.8,3.5,51,Variety
Present,Green,Sparse,Flat,233,Present,Present,Palmate,Sparse,Absent,68,Semi Spreading,Normal,50,Cream,Absent,Exerted,Absent,Cream,Absent,Solitary,Green,Round,Smooth,Blunt,Open,NA,Medium,White,7,37.8,White,24.9,20.7,3.2,51,Variety
Present,Green,Sparse,Flat,233,Present,Present,Palmate,Sparse,Absent,68,Semi Spreading,Normal,50,Cream,Absent,Exerted,Absent,Cream,Absent,Solitary,Green,Round,Smooth,Pointed,Open,NA,Medium,White,7,37.8,White,24.9,20.7,3.2,51,Variety
Present,Light Green,Sparse,Flat,252,Present,Absent,Palmate,Medium,Absent,68,Semi Spreading,Normal,52,Yellow,Absent,Exerted,Absent,Yellow,Absent,Solitary,Green,Round,Smooth,Blunt,Open,NA,Dense,Grey,8,35.7,White,23.5,18.6,3,50,Variety
Present,Light Green,Sparse,Flat,175,Present,Present,Palmate,Sparse,Absent,62,Semi Spreading,Normal,48,Yellow,Absent,Embedded,Absent,Yellow,Absent,Solitary,Green,Ovate,Smooth,Blunt,Open,NA,Medium,Grey,7.5,40.3,White,23.3,20.3,3.3,51,Variety
