Characteristics,Hypocotyl : Pigmentation,Leaf: Colour,Leaf: Hairiness,Leaf: Appearance,Leaf: Gossypol glands,Leaf: Nectaries,Leaf: Petiole pigmentation,Leaf: Shape,Plant: Stem hairiness,Plant: Stem pigmentation,Plant: Height (cm),Plant: Growth habit,Bract: Type,Flower: Time of flowering (50% of plants with at least one open flower),Flower: Petal colour,Flower: Petal spot,Flower: Stigma,Flower: Anther filament colouration,Flower: Pollen colour,Flower: Male sterility (Only for A and B lines),Boll: Bearing habit,Boll: Colour,Boll: Shape (longitudinal section),Boll: Surface,Boll: Prominence of tip,Boll: Opening,Boll: Weight of seed cotton/boll (g),Seed: Fuzz,Seed: Fuzz colour,Seed: Index (100 seed wt in gram),Ginning %,Fibre: Colour,Fibre: Length (2.5 % span length)(mm),Fibre: Strength (g/tex),Fibre: Fineness (Micronaire value),Fibre: Uniformity (%),GROUP
IC 359066 ,Present  ,Light Green,Sparse,Flat,Present (177/Sq. cm. leaf)   ,,Present,Semi digitat,Sparse,Absent,50 cm ,,Normal,50 days ,Cream,Absent,Embedded,Absent,Yellow,Absent,Solitary,Green,Round,Smooth,Pointed,Open,1.8 , Medium, White,8.0 , 30.4,  Cream, 25.6, 21.4, 3.3, 47,VARIETY
SUMAN ,  Present ,Light Green,Sparse,Flat,Present (181/Sq. cm. leaf)   ,,Present-faint,Palmate,Sparse,Absent,74 cm ,,Normal,50 days ,Cream,Absent,Embedded,Absent,Yellow,Absent,Solitary,Green,Round,Smooth,Pointed/Blunt (Offtypes),Open,2.6 ,Medium , Grey,6.5 , 38.1,  White, 25.1, 21.2, 2.8, 49,VARIETY
SIMA-1 (,Present  ,Light Green,Sparse,Flat,Present (178/Sq. cm. leaf)   ,,Present,Palmate,Medium,Absent,72 cm ,,Normal,49 days ,Cream,Absent,Embedded,Absent,Cream,Absent,Solitary,Green,Round,Smooth,Blunt ,Open,, Medium, Grey,7.0 , 34.6, Cream,23.8 , 20.8, 3.3, 49,VARIETY
– LH-900,Present  ,Light Green,Sparse,Flat,Present (268/Sq. cm. leaf)   ,,Present,Palmate,Medium,Absent,60 cm ,,Normal,56 days ,Cream,Absent,Embedded,Absent,Cream,Absent,Solitary,Green,Ovate,Smooth,Blunt ,Open,2.3 , Medium, Grey,6.5 , 33.1,  White,21.6 , 19.4, 3.2, 52,VARIETY
PUSA-31,Present  ,Light Green,Sparse,Flat,Present (134/Sq. cm. leaf)   ,,Present,Palmate,Sparse-medium,Absent, 50 cm,,Normal,53 days ,Cream,Absent,Embedded,Absent,Cream,Absent,Solitary,Green,Ovate/Round(offtype),Smooth,Blunt,Open,3.2 , Dense, White,8.5 , 32.4,  white,25.5 , 20.1, 2.9, 47,VARIETY
PKV-081,Present  ,Light Green,Sparse,Cup,Present (198/Sq. cm. leaf)   ,,Present,Palmate,Sparse,Absent,52 cm ,,Normal,49 days ,Yellow,Absent,Embedded,Absent,Yellow,Absent,Solitary,Green,Ovate,Smooth,Blunt ,Open,2.8 , Sparse, Grey,7.0 , 38.8,white , 27.2, 22.1, 3.0, 49,VARIETY
SS-167,Present  ,Light Green,Medium,Flat,Present (166/Sq. cm. leaf)   ,,Present,Degitate & semi degitate,Medium,Absent,58 cm ,,Normal,53 days ,Cream,Absent,Embedded,Absent,Cream,Absent,Solitary,Green,Round,Smooth,Pointed,Open,2.2 , Sparse, Grey,6.5 , 28.5,white , 24.1, 19.1, 3.1, 48,VARIETY
MAHALAXMI(,Present  ,Light Green,Sparse,Flat,Present (141/Sq. cm. leaf)   ,,Present,Palmate,Sparse,Absent,77 cm ,,Normal,53 days ,Yellow,Absent,Exerted,Absent,Cream,Absent,Solitary,Green,Round,Smooth,Pointed/blunt(offtypes),Open,3.1 , Medium, Green,9.5 , 35.8,  white, 25.7, 21.5, 2.9, 49,VARIETY
- IC 359025,Present  ,Light Green,Sparse,Flat,Present (239/Sq. cm. leaf)   ,,Absent,palmate,sparse,Absent,68 cm ,,Normal,52 days ,Cream,Absent,Embedded,Absent,Cream,Absent,Solitary,Green,Round,Smooth,Blunt,Open,3.2 ,Medium , Grey, 7.0, 33.3,white ,22.7 , 19.3, 2.8, 52,VARIETY
Vikram,Present  ,Light Green,sparse,Flat,Present (292/Sq. cm. leaf)   ,,Present,palmate,Medium,present,95 cm ,,Normal,56 days ,Cream,Absent,exerted,Absent,yellow,Absent,Solitary,Green,Ovate,Smooth,Blunt,Open,3.1 , Medium, Grey,8.0 , 34.8,white ,22.3 , 20.8, 3.0, 51,VARIETY
Jhurad,Present  ,Light Green,Sparse,Flat,Present (217/Sq. cm. leaf)   ,,Present,Palmate,Sparse,Absent,70 cm ,,Normal,53 days ,Cream,Absent,Embedded,Absent,Cream,Absent,Solitary,Green,ovate,Smooth,Blunt,Open,2.1 , Medium, Grey,7.5 , 31.9,white ,23.3 , 20.4, 4.0, 50,VARIETY
CSH-911 ,Present  ,Light Green,sparse,Flat,Present (123/Sq. cm. leaf)   ,,Present,palmate,Medium,Absent,,,Normal,,Yellow,Absent,Exerted,Absent,Yellow,Absent,Solitary,Green,ovate,Smooth,Pointed,Open,,,,,,,,,,,OKRA
EC 152285 ,,Light Green,Sparse,Flat,Present (133/Sq. cm. leaf)   ,,present,degitate,Sparse,Absent,,,Normal,,Cream,Absent,Embedded,Absent,Cream,Absent,Solitary,Green,Ovate,Smooth,Blunt/pointed(offtypes),Open,,,,,,,,,,,OKRA
EC 158938,,Light Green,Sparse,Flat,Present (170/Sq. cm. leaf)   ,,present,semidegitate,Sparse,Absent,,,Normal,,cream,Absent,Embedded,Absent,Cream,Absent,Solitary,Green,Ovate,Smooth,                   pointed,Open,,,,,,,,,,,OKRA
EC 170338 ,,Light Green,Sparse,Flat,Present (207/Sq. cm. leaf)   ,,present, Semi digitate,medium,Absent,,,Normal,,Yellow,Absent,Embedded,Absent,cream,Absent,Solitary,Green,Ovate,Smooth,pointed,Open,,,,,,,,,,,OKRA
EC 170340-NLLH ,,Light Green,Sparse,Flat,Present (123/Sq. cm. leaf)   ,,present,Super degitate,Medium,Absent,,,Normal,,Cream,Absent,Embedded,Absent,Cream,Absent,Solitary,Green,round,Smooth,Blunt,Open,,,,,,,,,,,OKRA
EC 170340 ,,Light Green,Medium,Flat,Present (141/Sq. cm. leaf)   ,,present,Semi degitate,Medium,Absent,,,Normal,,Yellow,Absent,Embedded,Absent,Cream,Absent,Solitary,Green,Round,Smooth,Blunt,Open,,,,,,,,,,,OKRA
line 33,,Light Green,Sparse,Flat,Present (136/Sq. cm. leaf)   ,,Present,Palmate,Sparse,Absent,,,Normal,,Cream,Absent,Exerted,Absent,Cream,Absent,Solitary,Green,Ovate,Smooth,Blunt/pointed(offtypes),Open,,,,,,,,,,,NEW
Line 34,,Light Green,Sparse,Flat,Present (190/Sq. cm. leaf)   ,,Present,Palmate,Sparse,Absent,,,Normal,,Cream,Absent,Embedded,Absent,Cream,Absent,Solitary,Green,Round,Smooth,Blunt/pointed(offtypes),Open,,,,,,,,,,,NEW
line 35,,Light Green,Sparse,Flat,Present (170/Sq. cm. leaf)   ,,Present,Palmate,medium,Absent,,,Normal,,Cream,Absent,Embedded,Absent,Cream,Absent,Solitary,Green,Ovate,Smooth,Blunt,Open,,,,,,,,,,,NEW
Line 36,,Light Green,Sparse,Flat,Present (238/Sq. cm. leaf)   ,,present,Palmate,medium,Absent,,,Normal,,Cream,Absent,Embedded,Absent,cream,Absent,Solitary,Green,Ovate,Smooth,pointed,Open,,,,,,,,,,,NEW
line 37,,Light Green,Sparse,Flat,Present (179/Sq. cm. leaf)   ,,present,Palmate,medium,Absent,,,Normal,,cream,Absent,Embedded,Absent,Cream,Absent,Solitary,Green,Ovate,Smooth,Blunt,Open,,,,,,,,,,,NEW
